parent_url,parent_name,this_url,name,level,word_frequency
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,功率计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_41,模块资源,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,功率计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_42,延迟,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,功率计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_43,握手信号,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,功率计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_44,信号,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,功率计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_45,功率计算模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_46,fpga,4,3
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_47,数字通信系统,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_48,sc-fde,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_49,算法性能,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_50,fpga系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_51,复杂算法,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_52,电路特性,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_53,fpga器件,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_54,数据,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_55,时延,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_56,传输信号,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_57,数据吞吐率,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_58,处理速度,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_1级_5,基于FPGA的SC.FDE整体系统设计,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_59,sc.fde,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_19,数据分支模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_60,数据,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_19,数据分支模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_61,信道,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_19,数据分支模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_62,uw,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_19,数据分支模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_63,数据分支模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_64,数据块,4,5
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_65,能量,4,3
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_66,幅值,4,3
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_67,amplitu,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_68,频率泄露,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_69,有效信号,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_70,模块延迟,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_71,加法器,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_72,延迟,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_73,模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_74,数据吞吐率,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_75,数据,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_76,能量统计模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_77,amplitude,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_78,模块处理,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_79,峰值,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_80,signalsum,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_81,总能量,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_82,信号,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_83,fft,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_84,功率,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_17,能量计算模块,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_85,能量计算模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_86,同步码字,4,6
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_87,同步,4,3
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_88,数据流,4,3
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_89,位同步,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_90,帧同步,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_91,同步算法,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_92,突发传输,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_93,比特,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_94,帧结构,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_95,数据,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_96,定时同步算法,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_97,采样法,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_98,数据帧,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_99,长度,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_100,复杂度,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_101,处理能,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_102,数字通信系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_103,二进制,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_104,处理能力,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_105,传统系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_106,旁瓣,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_107,同步头,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_108,相关器,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_109,接收端,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_110,无线信道环境,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_111,sc-fde系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_112,帧标记法,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_113,帧同步系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_114,通信系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_115,接收机,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_13,帧同步算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_116,帧同步算法,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_117,性能,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_118,有效数据,4,2
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_119,通信系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_120,数据,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_121,同步模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_122,同步系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_123,信号处理模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_124,采样判决,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_125,频带处理,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_126,同步系统模块,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_127,信噪比,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_128,标志位,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_129,数据流,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_3级_12,系统任务,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_130,同步子系统,4,1
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_14,改进的滑动窗算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_131,滑动窗,4,40
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_14,改进的滑动窗算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_132,峰值,4,14
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_14,改进的滑动窗算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_133,测度函数,4,13
中继平台上的SC-FDE系统方案研究与FPGA实现_2级_14,改进的滑动窗算法,中继平台上的SC-FDE系统方案研究与FPGA实现_知识点_134,长度,4,10
