,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
卷积码,0,0,11,10,1,0,0,22,2.8666666666666667
信道编码理论,0,0,7,0,0,0,0,7,0.875
码字,0,0,6,22,2,0,0,30,3.9833333333333334
编码,0,0,6,2,5,3,0,16,2.9333333333333336
冗余信息,0,0,4,0,0,0,0,4,0.5
通信系统,0,0,7,3,0,9,0,19,3.425
汉明码,0,0,3,0,0,0,0,3,0.375
信息比特,0,0,3,0,3,1,0,7,1.3416666666666668
信道编码,2,0,4,1,0,1,0,8,2.8666666666666667
误比特率,0,0,3,0,0,5,0,8,1.5833333333333333
信息,0,0,4,4,10,1,0,19,3.658333333333333
viterbi译码算法,0,0,5,8,7,0,0,20,3.3166666666666664
分组码,0,0,3,0,0,0,0,3,0.375
比特,0,0,4,0,4,9,0,17,3.6416666666666666
译码,0,0,12,33,26,6,0,77,13.358333333333334
香农,0,0,2,0,1,0,0,3,0.4916666666666667
信道容量,0,0,2,0,0,0,0,2,0.25
纠错码,0,0,2,0,0,0,0,2,0.25
差错控制编码,0,0,2,0,0,0,0,2,0.25
干扰,1,0,2,0,0,1,0,4,1.4916666666666667
信号传输,0,0,2,0,0,0,0,2,0.25
传输,0,0,2,0,0,0,0,2,0.25
性能,2,0,6,0,7,28,0,43,11.208333333333334
复杂度,2,0,9,8,29,13,0,61,14.275
外码,0,0,1,0,0,0,0,1,0.125
内码,0,0,1,0,0,0,0,1,0.125
级联码,0,0,1,0,2,0,0,3,0.6083333333333334
级联码思想,0,0,1,0,0,0,0,1,0.125
is-95cdma,0,0,1,0,0,0,0,1,0.125
通信标准,0,0,1,0,0,0,0,1,0.125
网格译码算法,0,0,1,0,0,0,0,1,0.125
bi,0,0,1,0,0,0,0,1,0.125
vi,0,0,1,0,0,0,0,1,0.125
约束长度,0,0,1,11,5,0,0,17,2.708333333333333
卷积译码,0,0,1,1,0,0,0,2,0.25
序列译码,0,0,1,7,0,0,0,8,1.0
信道编译码技术,0,0,1,0,0,0,0,1,0.125
软判决技术,0,0,1,0,0,0,0,1,0.125
编码理论,0,0,1,0,0,0,0,1,0.125
联合译码,0,0,1,0,0,0,0,1,0.125
内部寄存器,0,0,1,0,0,0,0,1,0.125
比特个数,0,0,1,0,0,0,0,1,0.125
编码器,0,0,2,9,19,6,0,36,7.416666666666667
比特数量,0,0,1,0,0,0,0,1,0.125
校验,0,0,1,0,0,0,0,1,0.125
校验位,0,0,1,0,12,0,0,13,3.025
编码效率,0,0,1,0,0,0,0,1,0.125
汉明码⑶,0,0,1,0,0,0,0,1,0.125
错误码字,0,0,1,1,0,0,0,2,0.25
码字传输,0,0,1,0,0,0,0,1,0.125
计算机,0,0,1,0,0,0,0,1,0.125
译码器,0,0,2,6,17,11,0,36,7.766666666666667
7比特,0,0,1,0,0,0,0,1,0.125
校验比特,0,0,1,0,0,1,0,2,0.3666666666666667
线性,0,0,1,0,0,0,0,1,0.125
数据,0,0,1,2,2,2,0,7,1.3416666666666668
输入比特,0,0,1,0,0,1,0,2,0.3666666666666667
可靠传输,0,0,1,0,0,0,0,1,0.125
通信,0,0,1,0,0,1,0,2,0.3666666666666667
香农理论,0,0,1,0,0,0,0,1,0.125
错误率,0,0,1,0,0,0,0,1,0.125
接收端译码,0,0,1,0,0,0,0,1,0.125
信息传输速率,0,0,1,0,0,0,0,1,0.125
信道,0,0,1,5,3,22,0,31,6.791666666666667
有噪信道,0,0,1,1,0,0,0,2,0.25
on,0,0,1,0,0,0,0,1,0.125
sh,0,0,1,0,0,0,0,1,0.125
编码理论学科,0,0,1,0,0,0,0,1,0.125
信息与,0,0,1,0,0,0,0,1,0.125
communication,0,0,1,0,0,0,0,1,0.125
