(磁场强度, Magnetic field strength): 29
(磁滞损耗, Hysteresis loss): 3
(磁感应强度, Magnetic induction): 258
(磁滞回线, Hysteresis loop): 10
(磁导率, Permeability): 34
(矫顽力, Coercive force): 9
(铁磁质, Ferromagnetic material): 51
(磁滞现象, Hysteresis phenomenon): 4
(磁化规律, Magnetization law): 4
(能量损失, Energy loss): 4
(退磁曲线, Demagnetization curve): 1
(反向饱和磁感应强度, Reverse saturation magnetic induction): 1
(饱和磁感应强度, Saturation magnetic induction): 2
(起始磁化曲线, Initial magnetization curve): 1
(反向磁化, Reverse magnetization): 1
(剩余磁感应强度, Remanent magnetic induction): 1
