(矢量, Vector): 326
(位移, Displacement): 214
(标量, Scalar): 15
(位矢, Position vector): 92
(直线距离, Straight line distance): 2
(近似相等, Approximately equal): 3
(分矢量, Component vector): 3
(正负号, Positive and negative sign): 14
(路程, Distance): 56
(增量, Increment): 61
(曲线弧长, Arc length): 1
(极限情况, Limiting case): 1
(一维运动, One-dimensional motion): 8
(弦长, Chord length): 3
(路径, Path): 130
(正交分量, Orthogonal components): 1
(坐标轴, Coordinate axis): 29
(匀速圆周运动, Uniform circular motion): 9
(周期, Period): 196
