(电介质, Dielectric): 170
(电场强度减小, Decrease in electric field strength): 1
(电荷, Charge): 721
(击穿电场强度, Breakdown electric field strength): 8
(电场, Electric field): 882
(电介质的相对电容率, Relative permittivity of dielectric): 4
(电介质极化, Dielectric polarization): 3
(电势差, Potential difference): 88
(金属平板, Metal plate): 7
