(亮斑, bright spot): 8
(衍射条纹, diffraction fringes): 22
(夫琅禾费衍射, Fraunhofer diffraction): 22
(平行光, parallel light): 32
(波长, wavelength): 470
(宽度, width): 105
(前焦点, front focal point): 1
(观测屏幕, observation screen): 21
(强度, intensity): 782
(狭缝, slit): 48
(平行光人射, parallel light incidence): 1
(衍射屏, diffraction screen): 7
(透镜, lens): 347
(焦面, focal plane): 5
