(质量, Mass): 641
(内力, Internal force): 65
(动量定理, Principle of momentum): 56
(牛顿第三定律, Newton's third law): 7
(质点系, Particle system): 101
(动能定理, Principle of kinetic energy): 60
(冲量, Impulse): 47
(外力, External force): 129
(相互作用, Interaction): 201
(功, Work): 633
(动量, Momentum): 476
(质点系的动置定理, Principle of motion of particle system): 2
(速度, Velocity): 1354
