(封闭容器, Closed container): 1
(热动平衡, Thermal equilibrium): 1
(自由膨胀过程, Free expansion process): 6
(理想状态, Ideal state): 1
(稳定状态, Stable state): 1
(物质交换, Material exchange): 1
(能量交换, Energy exchange): 2
(压强, Pressure): 132
(宏观性质, Macroscopic properties): 9
(外界影响, External influence): 5
(气体, Gas): 562
(分子数密度, Molecular number density): 15
(平衡态, Equilibrium state): 51
(非平衡态, Non-equilibrium state): 2
(隔板, Partition): 12
