(参考系, Frame of Reference): 118
(惯性系, Inertial Frame of Reference): 160
(广义相对论, General Theory of Relativity): 24
(惯性质量, Inertial Mass): 3
(惯性力, Inertial Force): 6
(等效原理, Equivalence Principle): 6
(引力, Gravity): 183
(非惯性系, Non-inertial Frame of Reference): 11
(物理定律, Physical Laws): 4
(引力质量, Gravitational Mass): 1
(自由下落的升降机, Free-falling Elevator): 4
