(韦伯, Weber): 1
(右手螺旋法则, Right-hand Rule): 20
(铁屑, Iron Filings): 4
(磁通量的概念, Concept of Magnetic Flux): 1
(积分, Integration): 208
(磁通量的计算, Calculation of Magnetic Flux): 0
(曲面, Surface): 96
(标量, Scalar): 15
(法向单位矢量, Normal Unit Vector): 3
(磁场线, Magnetic Field Lines): 44
(特斯拉, Tesla): 2
(闭合曲线, Closed Curve): 13
(磁通量, Magnetic Flux): 71
(单位, Unit): 286
(载流圆线圈, Current-carrying Circular Coil): 7
(安培, Ampere): 129
(闭合曲面, Closed Surface): 49
(磁棒, Magnetic Bar): 6
(磁感应强度, Magnetic Induction): 258
(载流长直导线, Current-carrying Straight Wire): 2
(面积元, Area Element): 35
(电场线, Electric Field Lines): 52
(磁场线的定义, Definition of Magnetic Field Lines): 1
