(量子力学, quantum mechanics): 32
(工程实际问题, engineering practical problems): 2
(非惯性系, non-inertial reference frame): 11
(相对论力学, relativistic mechanics): 8
(牛顿力学, Newtonian mechanics): 18
(自由电子, free electron): 24
(宏观电磁场, macroscopic electromagnetic field): 3
(质点, particle): 900
(牛顿运动定律, Newton's laws of motion): 40
(微观粒子, microscopic particle): 58
(低速, low speed): 18
(惯性系, inertial reference frame): 160
(宏观物体, macroscopic object): 9
