name,this_url,level
绪论,基于时空融合的多媒体事件检测_1级_1,1
多媒体事件检测框架,基于时空融合的多媒体事件检测_1级_2,1
基于深度网络的特征提取,基于时空融合的多媒体事件检测_1级_3,1
多媒体事件的时空表示,基于时空融合的多媒体事件检测_1级_4,1
基于LinearSVM的多媒体事件分类,基于时空融合的多媒体事件检测_1级_5,1
总结与展望,基于时空融合的多媒体事件检测_1级_6,1
