,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,第七章,总词频,加权得分
语义漂移,1,0,6,2,8,0,0,0,1,18,3.3049999999999997
模板,3,0,4,8,25,27,10,0,1,78,13.635
性能,1,0,3,5,1,2,4,1,0,17,3.16
迭代次数,0,0,0,1,5,1,0,0,0,7,0.9949999999999999
伪代码,0,0,0,0,6,1,0,0,0,7,1.015
核心函数,0,0,0,0,1,0,0,0,0,1,0.145
函数,0,0,0,2,4,1,3,0,0,10,1.41
算法,0,0,1,0,4,0,4,0,0,9,1.285
数据,0,0,3,7,0,2,4,4,0,20,2.7
slotfilling任务,0,0,0,2,0,0,0,7,0,9,1.265
kbp任务,0,0,0,0,0,0,0,3,0,3,0.43499999999999994
tac会议,0,0,1,1,0,0,0,2,0,4,0.54
质量阈值,0,0,0,0,3,0,0,0,0,3,0.43499999999999994
参数,0,0,1,0,3,1,0,2,0,7,0.9949999999999999
无过滤实验,0,0,0,0,5,0,0,0,0,5,0.725
实体,1,0,14,8,25,9,0,9,0,66,9.985
precision,0,0,1,1,3,0,1,0,0,6,0.83
有过滤实验,0,0,0,0,2,0,0,0,0,2,0.29
call,0,0,0,0,1,0,0,0,0,1,0.145
cal,0,0,0,0,1,0,0,0,0,1,0.145
质量评估,0,0,0,0,1,0,0,0,0,1,0.145
次数,0,0,0,0,1,0,0,0,0,1,0.145
个数,0,0,0,0,1,0,0,0,0,1,0.145
nr关系,0,0,0,0,1,0,0,0,0,1,0.145
相似度,0,0,2,0,1,11,2,0,0,16,2.28
模板长度,0,0,0,0,2,0,0,0,0,2,0.29
过滤实验,0,0,0,0,1,0,0,0,0,1,0.145
流程伪代码,0,0,0,0,1,0,0,0,0,1,0.145
内容,0,0,1,1,1,0,0,0,1,4,0.54
评价算法,0,0,0,0,1,0,0,0,0,1,0.145
实验,0,0,0,0,1,0,0,0,0,1,0.145
entity,0,0,0,2,4,0,0,0,0,6,0.83
fiher,0,0,0,2,0,0,0,0,0,2,0.25
ty,0,0,0,2,1,0,0,0,0,3,0.395
en,0,0,0,2,1,0,0,0,0,3,0.395
tter,0,0,0,1,0,0,0,0,0,1,0.125
filler,0,0,0,1,0,0,0,0,0,1,0.125
关系抽取,1,1,3,2,2,1,3,2,0,15,4.785
co-training算法,0,0,3,8,2,0,1,0,1,15,1.955
实体二寸,0,0,0,1,0,0,0,0,0,1,0.125
自然语言,0,0,9,4,1,2,1,4,1,22,2.9299999999999997
关系模板,0,0,0,1,0,0,0,0,0,1,0.125
自然语言处理,0,0,1,1,0,2,0,0,0,4,0.54
半监督算法,1,0,3,2,0,0,11,0,1,18,3.3649999999999998
半监督关系,1,0,0,3,0,0,2,1,0,7,1.81
召回率,0,0,6,9,9,7,2,1,0,34,4.63
准确率,0,0,3,9,4,2,1,1,0,20,2.66
语义漂移现象,0,0,0,0,4,0,0,0,0,4,0.58
newyork,0,0,0,0,2,0,0,0,0,2,0.29
ama,0,0,0,0,2,0,0,0,0,2,0.29
种子,0,0,0,4,11,1,0,0,0,16,2.2399999999999998
单调,0,0,0,0,1,0,0,0,0,1,0.145
单峰,0,0,0,0,1,0,0,0,0,1,0.145
过滤,0,0,1,0,1,0,0,0,0,2,0.27
mi,0,0,0,0,2,0,0,0,0,2,0.29
michelle,0,0,0,0,1,0,0,0,0,1,0.145
人名,0,0,0,0,1,0,1,2,0,4,0.58
集合质量,0,0,0,0,1,0,0,0,0,1,0.145
模板集合,0,0,0,1,2,0,0,0,0,3,0.415
语义漂移实验,0,0,0,0,1,0,0,0,0,1,0.145
质量评估函数,0,0,0,0,1,0,0,0,0,1,0.145
核函数,3,0,21,1,0,1,33,0,2,61,10.969999999999999
最短路径,0,0,2,0,3,6,3,0,0,14,1.9899999999999998
svm,1,0,0,0,0,0,4,0,1,6,1.725
正样本,0,0,0,0,0,0,3,0,0,3,0.43499999999999994
sion,0,0,0,0,0,0,2,0,0,2,0.29
pre,0,0,0,0,0,0,2,0,0,2,0.29
增强型词向量,0,0,0,0,0,0,2,0,0,2,0.29
最短路径依赖核,0,0,1,0,0,0,2,0,0,3,0.415
libsvm,0,0,0,0,0,0,2,0,0,2,0.29
特征向量,0,0,1,0,0,0,2,0,0,3,0.415
分类器,0,0,0,16,0,0,3,0,0,19,2.435
负样本,0,0,0,0,0,0,2,0,0,2,0.29
正负样本,0,0,0,0,0,0,2,0,0,2,0.29
re,0,0,0,0,0,0,1,0,0,1,0.145
半监督评价,0,0,0,0,0,0,1,0,0,1,0.145
训练集,1,0,0,5,0,0,9,3,0,18,3.3649999999999998
源代码,0,0,0,0,0,0,1,0,0,1,0.145
svm模型,0,0,0,0,0,0,1,0,0,1,0.145
高维空间,0,0,0,0,0,0,2,0,0,2,0.29
维数灾难,0,0,0,0,0,0,1,0,0,1,0.145
量化,0,0,0,0,0,1,1,0,0,2,0.29
词形,0,0,0,0,0,0,1,0,0,1,0.145
词性,0,0,0,0,0,0,1,1,0,2,0.29
单词,0,0,0,0,2,4,1,0,0,7,1.015
分类,0,0,0,3,0,0,1,0,0,4,0.52
svm实验策略,0,0,0,0,0,0,1,0,0,1,0.145
索引,0,0,1,0,0,0,0,8,0,9,1.285
indri,0,0,0,0,0,0,0,4,0,4,0.58
配置文件,0,0,0,0,0,0,0,2,0,2,0.29
查询语句,0,0,0,0,0,0,0,1,0,1,0.145
查询语言,0,0,0,0,0,0,0,1,0,1,0.145
模糊,0,0,0,0,0,0,0,1,0,1,0.145
语料集,0,0,1,4,0,0,1,1,0,7,0.915
实体信息,0,0,0,0,0,0,0,1,0,1,0.145
词干,0,0,0,0,0,0,0,1,0,1,0.145
语料,0,0,5,1,0,0,0,3,0,9,1.185
跨索引查询,0,0,0,0,0,0,0,1,0,1,0.145
平台,0,0,0,0,0,0,0,1,0,1,0.145
xapin,0,0,0,0,0,0,0,1,0,1,0.145
lucenew,0,0,0,0,0,0,0,1,0,1,0.145
搜索引擎,0,0,7,0,0,0,0,1,0,8,1.02
查询,0,0,0,0,0,0,0,2,0,2,0.29
名字,0,0,0,0,1,0,0,1,0,2,0.29
地名,0,0,0,0,1,0,0,1,0,2,0.29
lp,0,0,0,0,1,0,0,0,0,1,0.145
wordnet,0,0,0,0,1,1,0,1,0,3,0.43499999999999994
corenlp,0,0,0,0,5,0,0,4,0,9,1.305
实体增强,0,0,0,0,1,0,0,0,0,1,0.145
信息,1,0,14,3,2,10,3,2,0,35,5.59
机器,0,0,5,0,0,0,0,0,0,5,0.625
信息抽取技术,0,0,7,0,0,0,0,0,0,7,0.875
图灵测试,0,0,3,0,0,0,0,0,0,3,0.375
二元关系,0,0,2,0,0,0,0,0,0,2,0.25
头衔,0,0,2,0,0,0,0,0,0,2,0.25
事实信息,0,0,3,0,0,0,0,0,0,3,0.375
关系,3,0,8,3,2,1,3,1,0,21,5.39
搜索引擎技术,0,0,2,0,0,0,0,0,0,2,0.25
人工智能,0,0,2,0,0,0,0,0,0,2,0.25
关系抽取技术,1,0,3,0,0,0,0,0,0,4,1.375
查询效率,0,0,1,0,0,0,0,0,0,1,0.125
用户,0,0,1,0,0,0,0,0,0,1,0.125
用户体验,0,0,1,0,0,0,0,0,0,1,0.125
信息抽取技,0,0,1,0,0,0,0,0,0,1,0.125
甘生证门,0,0,1,0,0,0,0,0,0,1,0.125
出生证明,0,0,1,0,0,0,0,0,0,1,0.125
房地产,0,0,1,0,0,0,0,0,0,1,0.125
出生证门,0,0,1,0,0,0,0,0,0,1,0.125
地产,0,0,1,0,0,0,0,0,0,1,0.125
影响力,0,0,1,0,0,0,0,0,0,1,0.125
衆讯,0,0,1,0,0,0,0,0,0,1,0.125
