dissertation,name,this_url,language
面向图文检索的多模态学习算法研究,多模态,面向图文检索的多模态学习算法研究_关键词_1,中文
面向图文检索的多模态学习算法研究,检索,面向图文检索的多模态学习算法研究_关键词_2,中文
面向图文检索的多模态学习算法研究,深度学习,面向图文检索的多模态学习算法研究_关键词_3,中文
面向图文检索的多模态学习算法研究,multimodal,面向图文检索的多模态学习算法研究_keyword_4,英文
面向图文检索的多模态学习算法研究,retrieval,面向图文检索的多模态学习算法研究_keyword_5,英文
面向图文检索的多模态学习算法研究,deep learning,面向图文检索的多模态学习算法研究_keyword_6,英文
