name,this_url,level
绪论,极化调制信号的交叉极化鉴别度（XPD）补偿算法研究_1级_1,1
极化调制及去极化效应相关研究综述,极化调制信号的交叉极化鉴别度（XPD）补偿算法研究_1级_2,1
信道估计理想条件下的XPD补偿算法研究,极化调制信号的交叉极化鉴别度（XPD）补偿算法研究_1级_3,1
存在信道估计误差时的XPD补偿算法研究,极化调制信号的交叉极化鉴别度（XPD）补偿算法研究_1级_4,1
总结与展望,极化调制信号的交叉极化鉴别度（XPD）补偿算法研究_1级_5,1
