,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
虚拟节点,1,0,2,3,17,33,0,56,13.708333333333334
节点,2,0,18,15,32,37,5,109,24.008333333333333
虚拟链路,0,0,3,1,16,16,2,38,8.716666666666667
虚拟网络,6,0,28,42,60,41,12,189,42.05833333333334
映射,2,0,19,12,26,37,1,97,21.34166666666667
物理节点,1,0,1,7,25,24,0,58,13.841666666666667
虚拟悬挂链路,0,0,0,0,0,5,0,5,1.2083333333333333
链路,3,0,10,10,37,23,1,84,20.241666666666667
虚拟网络请求,0,0,5,9,19,10,2,45,9.241666666666667
物理链路,0,0,1,4,16,8,4,33,7.391666666666667
映射虚拟链路,0,0,0,0,0,1,0,1,0.24166666666666667
a节点,0,0,0,0,0,1,0,1,0.24166666666666667
映射a节点,0,0,0,0,0,1,0,1,0.24166666666666667
请求拓扑,0,0,0,0,0,1,0,1,0.24166666666666667
子问题序列,0,0,0,0,0,2,0,2,0.48333333333333334
蚂蚁,0,0,1,0,0,33,2,36,8.583333333333334
序列,0,0,0,0,0,1,0,1,0.24166666666666667
sq,0,0,0,0,0,3,0,3,0.725
悬挂链路,0,0,0,0,0,4,0,4,0.9666666666666667
剩余虚拟网络,0,0,0,0,0,1,0,1,0.24166666666666667
cpu映射,0,0,0,0,0,1,0,1,0.24166666666666667
问题,0,0,0,0,0,1,0,1,0.24166666666666667
请求,3,0,6,6,27,15,5,62,15.858333333333334
子请求,0,0,0,0,0,2,0,2,0.48333333333333334
带宽,0,0,2,1,7,12,5,27,6.175
链路映射,3,0,4,2,20,5,3,37,10.516666666666666
信息素模型,1,0,1,0,0,5,2,9,2.8166666666666664
时延,1,0,2,4,0,9,2,18,4.408333333333333
仿真,2,0,2,0,4,4,2,14,4.666666666666666
物理网络,3,0,5,9,22,20,2,61,15.383333333333333
转发层,0,0,0,2,0,0,2,4,0.7333333333333334
控制层,0,0,0,7,0,0,2,9,1.3583333333333334
链路带宽资源,0,0,0,0,6,1,2,9,2.175
资源,3,0,13,8,13,3,2,42,9.975
虚拟网络映射,0,1,7,9,5,5,2,29,6.9
异构sdn网络,1,0,5,6,7,3,2,24,5.275
通信,1,0,3,1,5,1,2,13,3.4333333333333336
底层网络,0,0,1,5,2,2,2,12,2.2
底层物理资源,0,0,1,0,0,0,1,2,0.3666666666666667
网络资源利用率,2,0,2,0,2,2,1,9,3.458333333333333
功率,0,0,0,0,6,2,1,9,2.175
搜索,0,0,0,0,0,1,1,2,0.48333333333333334
vne-ac算法,1,0,0,0,0,5,1,7,2.45
时延约束,0,0,0,0,0,4,1,5,1.2083333333333333
流程,0,0,0,0,0,1,1,2,0.48333333333333334
在线映射算法,1,0,3,0,3,2,1,10,2.825
时延感知,0,0,1,0,0,2,1,4,0.85
蚁群算法,1,0,3,0,0,13,1,18,4.758333333333333
蚁群优化算法,0,1,1,0,0,8,1,11,4.3
成功率,0,0,0,3,10,3,1,17,3.7583333333333333
信息,1,0,2,0,0,4,1,8,2.458333333333333
增广图,1,0,0,0,0,2,1,4,1.725
阶段映射,1,0,0,0,0,1,1,3,1.4833333333333334
多重链路,0,0,0,0,2,1,1,4,0.9666666666666667
同构链路,1,0,1,0,0,2,1,5,1.85
剩余资源,1,0,0,0,1,3,1,6,2.208333333333333
启发函数,1,0,0,0,0,7,1,9,2.9333333333333336
异构切换,1,1,2,0,1,3,1,9,4.458333333333333
剩余带宽资源,1,0,1,0,1,3,1,7,2.333333333333333
异构链路,0,0,0,0,1,1,1,3,0.725
蚁群搜索,1,0,1,0,0,2,1,5,1.85
蚁群优化映射算法,1,0,0,0,0,2,1,4,1.725
多qos模型,0,0,0,0,0,2,1,3,0.725
资源利用率,0,0,0,2,5,1,1,9,1.9416666666666667
映射收益,0,0,0,0,3,2,1,6,1.45
映射成功率,0,0,0,5,9,2,1,17,3.525
最优对比算法,0,0,0,0,0,0,1,1,0.24166666666666667
请求数,0,0,0,1,1,0,1,3,0.6083333333333334
