dissertation,name,this_url,language
大规模、快速移动机器人群的机器学习组网关键技术研究,移动机器人群,大规模、快速移动机器人群的机器学习组网关键技术研究_关键词_1,中文
大规模、快速移动机器人群的机器学习组网关键技术研究,模糊决策树,大规模、快速移动机器人群的机器学习组网关键技术研究_关键词_2,中文
大规模、快速移动机器人群的机器学习组网关键技术研究,度量学习,大规模、快速移动机器人群的机器学习组网关键技术研究_关键词_3,中文
大规模、快速移动机器人群的机器学习组网关键技术研究,端到端时延,大规模、快速移动机器人群的机器学习组网关键技术研究_关键词_4,中文
大规模、快速移动机器人群的机器学习组网关键技术研究,吞吐量,大规模、快速移动机器人群的机器学习组网关键技术研究_关键词_5,中文
大规模、快速移动机器人群的机器学习组网关键技术研究,Mobile robot swarm,大规模、快速移动机器人群的机器学习组网关键技术研究_keyword_6,英文
大规模、快速移动机器人群的机器学习组网关键技术研究,Fuzzy decision tree,大规模、快速移动机器人群的机器学习组网关键技术研究_keyword_7,英文
大规模、快速移动机器人群的机器学习组网关键技术研究,Metric learning,大规模、快速移动机器人群的机器学习组网关键技术研究_keyword_8,英文
大规模、快速移动机器人群的机器学习组网关键技术研究,End-to-end delay,大规模、快速移动机器人群的机器学习组网关键技术研究_keyword_9,英文
大规模、快速移动机器人群的机器学习组网关键技术研究,Throughput,大规模、快速移动机器人群的机器学习组网关键技术研究_keyword_10,英文
