,摘要,关键词,第一章,第二章,第三章,第四章,第五章,总词频,加权得分
热点事件,13,1,37,17,75,28,0,171,46.641666666666666
社交网络,4,1,56,2,13,20,0,96,21.225
时间序列,3,1,18,64,34,9,0,129,25.641666666666666
随机参数,0,0,7,0,0,0,0,7,0.875
非平稳时间序列,0,0,4,0,0,0,0,4,0.5
结构特性,0,0,5,0,0,3,0,8,1.35
信息,0,0,15,2,2,6,0,25,4.058333333333334
参数,0,0,3,2,0,8,0,13,2.5583333333333336
抽样,0,0,3,0,0,0,0,3,0.375
kalman滤波,0,0,3,0,0,0,0,3,0.375
热点词,0,0,3,0,0,0,0,3,0.375
热门事件,0,0,3,0,0,0,0,3,0.375
节点,2,0,16,0,6,24,0,48,11.25
网络结构,0,0,3,0,0,0,0,3,0.375
传播,1,0,9,0,9,7,0,26,5.991666666666667
协整,0,0,2,0,0,0,0,2,0.25
均衡关系,0,0,2,0,0,0,0,2,0.25
线性组合,0,0,2,0,0,0,0,2,0.25
样本点,0,0,2,0,0,0,0,2,0.25
参数空间,0,0,2,0,0,0,0,2,0.25
mcmc算法,0,0,2,0,0,0,0,2,0.25
序列,0,0,2,3,1,0,0,6,0.8666666666666667
平稳时间序列,0,0,2,0,0,0,0,2,0.25
传播规律,4,0,9,3,14,4,0,34,9.85
时间序列特性,0,0,3,1,1,0,0,5,0.7416666666666667
热门短语,0,0,2,0,0,0,0,2,0.25
转发次数,0,0,2,1,0,0,0,3,0.375
时间特性,0,0,2,0,0,4,0,6,1.2166666666666668
性能,0,0,2,1,0,0,0,3,0.375
传播过程,2,0,2,0,9,12,0,25,7.325
网络,1,0,6,0,2,1,0,10,2.475
时间序列挖掘,0,0,3,3,0,0,0,6,0.75
时间序列分析,0,0,3,6,0,2,0,11,1.6083333333333334
复杂度,0,0,1,0,1,0,0,2,0.3666666666666667
节点状态,0,0,1,0,0,0,0,1,0.125
互联网,1,0,4,0,0,0,0,5,1.5
时变网络,0,0,1,0,0,0,0,1,0.125
移动互联网,0,0,2,0,0,0,0,2,0.25
传播模型,0,0,1,1,0,1,0,3,0.4916666666666667
互联网技术,0,0,2,0,0,0,0,2,0.25
数据挖掘,0,0,2,4,1,0,0,7,0.9916666666666667
复杂网络,0,0,11,0,0,0,0,11,1.375
sis模型,0,0,3,0,0,0,0,3,0.375
sir模型,0,0,2,0,0,0,0,2,0.25
流行病传播模型,0,0,5,0,0,1,0,6,0.8666666666666667
传播动力学,0,0,4,0,0,0,0,4,0.5
大数据读取量,0,0,1,0,0,0,0,1,0.125
存储量,0,0,1,0,0,0,0,1,0.125
计算量,0,0,1,0,0,0,0,1,0.125
状态,0,0,1,0,0,1,0,2,0.3666666666666667
滤波结,0,0,1,0,0,0,0,1,0.125
递推特性,0,0,1,0,0,0,0,1,0.125
线性估计,0,0,1,0,0,0,0,1,0.125
系统变量,0,0,1,0,0,0,0,1,0.125
误差,0,0,1,0,0,2,0,3,0.6083333333333334
动力约束条件,0,0,1,0,0,0,0,1,0.125
数值,0,0,1,0,0,0,0,1,0.125
观测时间点,0,0,1,0,0,0,0,1,0.125
特性,0,0,1,1,1,0,0,3,0.4916666666666667
动态系统,0,0,1,0,0,0,0,1,0.125
观测资料,0,0,1,0,0,0,0,1,0.125
平稳序列,0,0,1,0,0,0,0,1,0.125
平稳,0,0,1,0,0,0,0,1,0.125
cointegration,0,0,1,0,0,0,0,1,0.125
时序变量,0,0,1,0,0,0,0,1,0.125
平稳过程,0,0,1,0,0,0,0,1,0.125
内积,0,0,1,0,0,0,0,1,0.125
常数,0,0,2,0,0,0,0,2,0.25
单位根过程,0,0,1,0,0,0,0,1,0.125
数学模型,0,0,1,0,0,0,0,1,0.125
非平稳序列,0,0,1,0,0,0,0,1,0.125
协整检验,0,0,1,0,0,0,0,1,0.125
时间点,0,0,2,14,5,3,0,24,3.9333333333333336
样点,0,0,1,1,0,0,0,2,0.25
概率,0,0,2,1,0,2,0,5,0.8583333333333334
概率密度,0,0,1,0,0,0,0,1,0.125
概率密度函数,0,0,1,0,0,0,0,1,0.125
时间序列数据,1,0,1,21,11,0,0,34,6.408333333333333
hastings,0,0,1,0,0,0,0,1,0.125
lis,0,0,1,0,0,0,0,1,0.125
gibbs,0,0,1,0,0,0,0,1,0.125
模拟样本,0,0,1,0,0,0,0,1,0.125
马尔可夫链,0,0,1,0,0,0,0,1,0.125
平稳分布,0,0,1,0,0,0,0,1,0.125
预测,0,0,1,0,0,1,0,2,0.3666666666666667
car,0,0,1,0,0,0,0,1,0.125
markovchain,0,0,1,0,0,0,0,1,0.125
mcmc,0,0,1,0,0,0,0,1,0.125
信息特性,0,0,1,0,0,0,0,1,0.125
非平稳特性,0,0,1,1,0,0,0,2,0.25
mcmc模拟检验,0,0,1,0,0,0,0,1,0.125
backpropagation神经网络,0,0,1,0,0,0,0,1,0.125
协整处理,0,0,1,0,0,0,0,1,0.125
小波分析,0,0,1,0,0,0,0,1,0.125
热点事件传播,0,0,1,0,0,1,0,2,0.3666666666666667
时间序列传播规律,0,0,1,0,0,0,0,1,0.125
传播影响力,0,0,1,0,0,0,0,1,0.125
热门标签,0,0,1,0,0,0,0,1,0.125
热词传播,0,0,1,0,0,0,0,1,0.125
循环过程,0,0,1,0,0,0,0,1,0.125
博客,0,0,2,0,0,0,0,2,0.25
传播环节,0,0,1,0,0,0,0,1,0.125
影响因子,0,0,1,0,0,0,0,1,0.125
传播网络,0,0,1,0,0,0,0,1,0.125
线性影响模型,0,0,1,0,0,0,0,1,0.125
事件传播率,0,0,1,0,0,0,0,1,0.125
聚类算法,0,0,3,17,6,0,0,26,3.95
k-means,0,0,1,4,1,0,0,6,0.8666666666666667
k-sc聚类算法,0,0,1,0,2,0,0,3,0.6083333333333334
新度量,0,0,1,0,0,0,0,1,0.125
相似度,0,0,1,4,9,0,0,14,2.8
事件,0,0,5,1,5,0,0,11,1.9583333333333333
事件传播,0,0,1,0,0,0,0,1,0.125
时长分析,0,0,1,0,0,0,0,1,0.125
速度,0,0,4,0,0,0,0,4,0.5
传播广度,0,0,1,0,0,0,0,1,0.125
digg,0,0,1,0,0,0,0,1,0.125
持续时间,1,0,1,0,0,2,0,4,1.6083333333333334
用户影响力,0,0,1,0,0,0,0,1,0.125
追随者,0,0,1,0,0,0,0,1,0.125
用户粉丝,0,0,1,0,1,0,0,2,0.3666666666666667
用户信息,0,0,1,0,0,0,0,1,0.125
kwak,0,0,1,0,0,0,0,1,0.125
传播行,0,0,1,0,0,0,0,1,0.125
传播行为,0,0,2,1,2,4,0,9,1.825
热点词汇,0,0,1,0,0,0,0,1,0.125
信息传播,0,0,6,0,0,1,0,7,0.9916666666666667
意见领袖,0,0,5,0,39,18,0,62,14.4
波峰,0,0,3,0,6,3,0,12,2.55
spikem-g,1,0,3,0,0,2,0,6,1.8583333333333334
ikem,1,0,1,0,0,1,0,3,1.3666666666666667
微博热点事件传播模型,0,0,1,0,0,0,0,1,0.125
spikem模型,0,0,3,0,0,14,0,17,3.7583333333333333
微博,0,1,17,1,4,2,0,25,5.7
聚类中心,0,0,1,12,32,2,0,47,9.841666666666667
数据,0,0,1,6,6,0,0,13,2.325
k-sc时间序列聚类算法,0,0,1,0,0,0,0,1,0.125
用户,0,0,5,0,2,0,0,7,1.1083333333333334
