,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
数据,1,0,2,54,3,22,10,3,95,14.8875
writebolt,0,0,0,0,0,6,0,0,6,1.0875
knngrubbs,0,0,0,0,0,2,0,0,2,0.3625
拓扑,0,0,0,8,0,3,0,1,12,1.725
6storm拓扑图,0,0,0,0,0,1,0,0,1,0.18125
stonn,0,0,0,0,0,3,0,0,3,0.54375
hbase,1,0,2,16,0,14,1,2,36,6.33125
异常检测,1,1,2,0,2,1,2,2,11,4.51875
task,0,0,0,2,0,8,0,0,10,1.7
rubbsbolt,0,0,0,0,0,1,0,0,1,0.18125
nn,0,0,0,0,2,1,1,0,4,0.725
流量,3,0,23,0,27,2,13,7,75,14.75625
splitbolt,0,0,0,0,0,4,0,0,4,0.725
拓扑数据流,0,0,0,0,0,1,0,0,1,0.18125
kafkabroker,0,0,0,0,0,1,0,0,1,0.18125
kafkaspout,0,0,0,0,0,7,0,0,7,1.26875
6storm拓扑设计,0,0,0,0,0,1,0,0,1,0.18125
时间序列,0,0,0,0,20,0,0,3,23,4.16875
网络,2,0,14,1,7,1,6,2,33,6.775
数学,0,0,0,0,1,0,0,0,1,0.18125
时间序列分析,0,0,1,0,3,0,0,2,6,1.03125
时间间隔,0,0,0,0,1,0,1,0,2,0.3625
间隔,0,0,0,0,1,0,0,0,1,0.18125
流量数据,3,0,9,0,10,1,17,5,45,10.10625
网络流量,0,0,0,0,2,0,0,0,2,0.3625
kafka,0,0,1,15,0,26,0,2,44,7.075
消息数据,0,0,0,14,0,0,0,0,14,1.75
consumer,0,0,0,10,0,0,0,0,10,1.25
消息,0,0,0,15,0,0,0,0,15,1.875
偏移量,0,0,0,6,0,0,0,0,6,0.75
kafka集群,0,0,0,5,0,3,0,2,10,1.53125
log文件,0,0,0,6,0,0,0,0,6,0.75
partition,0,0,0,4,0,0,0,0,4,0.5
topic,0,0,0,4,0,1,0,0,5,0.68125
broker服务器,0,0,0,3,0,0,0,0,3,0.375
逻辑日志,0,0,0,2,0,0,0,0,2,0.25
消费者,0,0,0,2,0,2,0,0,4,0.6125
producer,0,0,0,2,0,2,0,0,4,0.6125
分布式消息系统,0,0,0,3,0,1,0,0,4,0.55625
sendfileapi,0,0,0,1,0,0,0,0,1,0.125
kakfa,0,0,0,1,0,1,0,0,2,0.30625
ka&a,0,0,0,1,0,0,0,0,1,0.125
订阅消息,0,0,0,1,0,0,0,0,1,0.125
数据长度,0,0,0,1,0,0,0,0,1,0.125
okafka集群,0,0,0,1,0,0,0,0,1,0.125
消息系统,0,0,0,1,0,0,0,0,1,0.125
硬盘,0,0,0,2,0,1,0,0,3,0.43125
硬盘存储,0,0,0,1,0,0,0,0,1,0.125
容量,0,0,0,1,0,0,0,0,1,0.125
物理存储,0,0,0,1,0,0,0,0,1,0.125
消息存储模式,0,0,0,1,0,0,0,0,1,0.125
存储策略,0,0,0,1,0,0,0,0,1,0.125
集群,0,0,0,10,0,1,0,0,11,1.43125
pull模,0,0,0,1,0,0,0,0,1,0.125
生产者,0,0,0,2,0,2,0,0,4,0.6125
节点,0,0,0,5,0,1,0,0,6,0.80625
通信,0,0,0,2,0,0,0,0,2,0.25
zookeeper,0,0,0,3,0,8,0,0,11,1.825
zookeeper集群,0,0,0,1,0,2,0,0,3,0.4875
消息消费者,0,0,0,1,0,0,0,0,1,0.125
费者,0,0,0,1,0,0,0,0,1,0.125
kafka集群性能,0,0,0,1,0,0,0,0,1,0.125
服务器,0,0,0,2,0,4,2,0,8,1.3375
消息生产,0,0,0,1,0,0,0,0,1,0.125
kafka拓扑结构,0,0,0,1,0,0,0,0,1,0.125
kafka拓扑结构图,0,0,0,1,0,0,0,0,1,0.125
consumergroup,0,0,0,1,0,0,0,0,1,0.125
新消息数据,0,0,0,1,0,0,0,0,1,0.125
指息,0,0,0,1,0,0,0,0,1,0.125
ro,0,0,0,2,0,0,0,0,2,0.25
负载均衡,0,0,0,1,0,0,0,0,1,0.125
分区,0,0,0,3,0,0,0,0,3,0.375
消费顺序,0,0,0,1,0,0,0,0,1,0.125
存储,1,0,0,5,0,0,0,0,6,1.625
broker,0,0,0,1,0,0,0,0,1,0.125
ok,0,0,0,1,0,0,0,0,1,0.125
storm,0,0,7,31,0,41,1,5,85,13.268749999999999
kafka-storm,0,0,0,1,0,0,0,0,1,0.125
大数据处理框架,0,0,0,1,0,0,0,0,1,0.125
uniquevisitor,0,0,0,1,0,0,0,0,1,0.125
pageview,0,0,0,1,0,0,0,0,1,0.125
流式数据,0,0,0,1,0,0,0,0,1,0.125
传输性能,0,0,0,1,0,0,0,0,1,0.125
扩展性,0,0,0,1,0,0,0,0,1,0.125
异常值,0,0,2,0,16,0,1,1,20,3.5124999999999997
窗口,0,0,0,0,3,0,0,0,3,0.54375
正常流量,0,0,0,0,3,0,0,0,3,0.54375
待侧值,0,0,0,0,3,0,0,0,3,0.54375
待测样本,0,0,0,0,3,0,0,0,3,0.54375
grubbs检测法,0,0,0,0,9,0,0,2,11,1.99375
异常流量数据,0,0,2,0,2,0,0,0,4,0.6125
正常值,0,0,0,0,3,0,0,0,3,0.54375
knn回归算法,0,0,0,0,2,0,0,0,2,0.3625
grubbs算法,0,0,0,0,2,0,0,0,2,0.3625
格拉布斯值,0,0,0,0,1,0,0,0,1,0.18125
常数据,0,0,0,0,1,0,0,0,1,0.18125
即失真,0,0,0,0,1,0,0,0,1,0.18125
异常,0,0,0,0,3,0,2,0,5,0.90625
时间单位,0,0,0,0,1,0,0,0,1,0.18125
异常数据,0,0,0,0,4,0,0,0,4,0.725
异常流量,3,0,6,0,3,2,1,0,15,4.8375
grubbs,0,0,0,0,3,0,0,1,4,0.725
时间维度,0,0,0,0,1,0,0,0,1,0.18125
数据点,0,0,0,0,6,0,0,0,6,1.0875
时间,0,0,1,1,3,3,1,0,9,1.51875
异常流量检测,0,0,2,0,1,0,0,0,3,0.43125
异常值判定算法,0,0,0,0,1,0,0,0,1,0.18125
样本数值,0,0,0,0,1,0,0,0,1,0.18125
样本数据,0,0,0,0,7,0,0,0,7,1.26875
距离,0,0,0,0,3,0,0,0,3,0.54375
样本点,0,0,0,0,3,0,0,0,3,0.54375
距离规,0,0,0,0,1,0,0,0,1,0.18125
knn检测法,0,0,0,0,1,0,0,0,1,0.18125
ru,0,0,0,0,4,0,0,0,4,0.725
knn,0,0,0,0,3,0,0,0,3,0.54375
实时网络,0,0,0,0,1,1,0,4,6,1.0875
大数据处理技术,0,0,3,7,0,0,0,2,12,1.6125
特性,0,0,0,1,1,0,0,0,2,0.30625
组件,0,0,0,4,0,2,0,0,6,0.8625
非关系型数据库,1,0,0,9,0,3,0,0,13,2.66875
分布式,0,0,0,4,0,2,0,0,6,0.8625
流处理平台,0,0,0,1,0,2,0,0,3,0.4875
akcer,0,0,0,1,0,0,0,0,1,0.125
yahoo!,0,0,0,1,0,0,0,0,1,0.125
apachestorm,0,0,1,1,0,0,0,0,2,0.25
实时流处理技术,0,0,0,4,0,0,0,0,4,0.5
大数据技术,0,0,0,2,0,0,0,0,2,0.25
hadoopyam,0,0,0,1,0,0,0,0,1,0.125
pregel,0,0,0,4,0,0,0,0,4,0.5
spark,0,0,1,8,0,0,0,0,9,1.125
hadoop,0,0,1,3,0,3,0,0,7,1.04375
批处理离线大数据技术,0,0,0,1,0,0,0,0,1,0.125
大数据环境,0,0,0,1,0,0,0,0,1,0.125
阈值,0,0,3,0,4,0,0,0,7,1.1
监测,0,0,0,0,3,0,0,0,3,0.54375
静态阈值,0,0,2,0,3,0,0,0,5,0.79375
格拉布斯法,0,0,1,0,3,0,0,0,4,0.66875
网络环境,0,0,0,0,2,0,0,0,2,0.3625
动态阈值,0,0,0,0,2,0,0,0,2,0.3625
机器学习,0,0,0,2,2,0,0,0,4,0.6125
异常网络,3,0,7,0,1,3,0,0,14,4.6
bbs,0,0,0,0,2,0,0,0,2,0.3625
流量时间序列,0,0,0,0,3,0,0,0,3,0.54375
异常值监测法,0,0,0,0,1,0,0,0,1,0.18125
静态基准,0,0,0,0,1,0,0,0,1,0.18125
即时,0,0,0,0,1,0,0,0,1,0.18125
参数,0,0,0,0,2,1,1,0,4,0.725
对流量,0,0,0,0,1,0,0,0,1,0.18125
异常行为,0,0,0,0,1,0,0,0,1,0.18125
预测值,0,0,0,0,1,0,0,0,1,0.18125
模型,0,0,0,1,1,0,0,0,2,0.30625
信息,0,0,0,2,2,3,0,0,7,1.15625
数据模型,0,0,0,2,2,0,0,0,4,0.6125
数据采集,0,0,0,0,1,0,1,0,2,0.3625
异常流量监测,0,0,0,0,1,0,0,0,1,0.18125
行为,0,0,0,0,1,0,0,0,1,0.18125
流量报文信息,0,0,0,0,1,0,0,0,1,0.18125
主机,0,0,0,0,1,0,10,0,11,1.99375
攻击行为,0,0,0,0,1,0,0,0,1,0.18125
安全防御技术,0,0,0,0,1,0,0,0,1,0.18125
异常流量检测系统,0,0,1,0,1,2,1,0,5,0.85
supervisor,0,0,0,1,0,11,0,0,12,2.11875
端口,0,0,0,0,0,5,0,0,5,0.90625
leader,0,0,0,0,0,2,0,0,2,0.3625
synclimit,0,0,0,0,0,2,0,0,2,0.3625
initlimit,0,0,0,0,0,2,0,0,2,0.3625
ticktime,0,0,0,0,0,2,0,0,2,0.3625
端口号,0,0,0,0,0,1,0,0,1,0.18125
编号,0,0,0,0,0,1,0,0,1,0.18125
zookeeper节点,0,0,0,0,0,1,0,0,1,0.18125
storm集群服务器编号,0,0,0,0,0,1,0,0,1,0.18125
ver,0,0,0,0,0,1,0,0,1,0.18125
内部心跳检测时间,0,0,0,0,0,1,0,0,1,0.18125
zk同步时间,0,0,0,0,0,1,0,0,1,0.18125
默认,0,0,0,0,0,1,0,0,1,0.18125
客户端,0,0,0,0,0,1,0,0,1,0.18125
clientport,0,0,0,0,0,1,0,0,1,0.18125
myid文件,0,0,0,0,0,1,0,0,1,0.18125
目录,0,0,0,0,0,1,0,0,1,0.18125
内存数据,0,0,0,0,0,1,0,0,1,0.18125
datadir,0,0,0,0,0,1,0,0,1,0.18125
最小时间单元,0,0,0,0,0,1,0,0,1,0.18125
zk,0,0,0,0,0,1,0,0,1,0.18125
nimbus,0,0,0,2,0,2,0,0,4,0.6125
配置,0,0,0,0,0,3,0,0,3,0.54375
解压,0,0,0,0,0,1,0,0,1,0.18125
集群内部通信,0,0,0,0,0,1,0,0,1,0.18125
storm集群,0,0,0,4,0,6,0,0,10,1.5875
zookeeper集群配置,0,0,0,0,0,1,0,0,1,0.18125
平均值,0,0,0,0,3,0,2,0,5,0.90625
grubbs法,0,0,0,0,3,0,0,0,3,0.54375
非异常数据,0,0,0,0,2,0,0,0,2,0.3625
标准差,0,0,0,0,2,0,2,0,4,0.725
样本总数,0,0,0,0,2,0,0,0,2,0.3625
可疑值,0,0,0,0,2,0,0,0,2,0.3625
正态分布,0,0,1,0,22,0,0,3,26,4.65625
检测法,0,0,1,0,2,0,0,0,3,0.4875
检测,0,0,1,0,4,0,0,0,5,0.85
检测值,0,0,0,0,1,0,0,0,1,0.18125
去置信概率,0,0,0,0,1,0,0,0,1,0.18125
置信概率,0,0,1,0,1,0,0,0,2,0.30625
概率系数,0,0,0,0,1,0,0,0,1,0.18125
检验水平,0,0,0,0,1,0,0,0,1,0.18125
残差,0,0,0,0,1,0,0,0,1,0.18125
grubbs统计值,0,0,0,0,1,0,0,0,1,0.18125
均值,0,0,0,0,1,0,0,0,1,0.18125
样本数,0,0,0,0,2,0,0,0,2,0.3625
样本,0,0,0,0,18,0,1,1,20,3.625
数值,0,0,0,0,2,0,0,0,2,0.3625
偏离程度,0,0,0,0,1,0,0,0,1,0.18125
数值点,0,0,0,0,1,0,0,0,1,0.18125
检测数值,0,0,0,0,1,0,0,0,1,0.18125
可信度,0,0,0,0,1,0,0,0,1,0.18125
维度,0,0,0,0,1,0,0,0,1,0.18125
计算过程,0,0,0,0,1,0,0,0,1,0.18125
方差,0,0,0,0,1,0,1,0,2,0.3625
屏蔽效应,0,0,0,0,1,0,0,0,1,0.18125
格拉布斯准则,0,0,0,0,3,0,0,0,3,0.54375
误差,0,0,0,0,3,0,1,0,4,0.725
t检验,0,0,0,0,1,0,0,0,1,0.18125
dixon检测法,0,0,0,0,1,0,0,0,1,0.18125
chauvenet检测法,0,0,0,0,1,0,0,0,1,0.18125
grubbs检测,0,0,0,0,2,0,0,0,2,0.3625
异常数,0,0,0,0,1,0,0,0,1,0.18125
测量值,0,0,0,0,1,0,0,0,1,0.18125
格拉布斯异常值检测,0,0,0,0,1,0,0,0,1,0.18125
mapreduce,0,0,1,12,0,2,1,0,16,2.16875
rdd,0,0,0,6,0,0,0,0,6,0.75
数据集,0,0,0,6,0,0,0,0,6,0.75
yarn,0,0,0,5,0,0,0,0,5,0.625
资源,0,0,0,7,0,0,0,0,7,0.875
文件系统,0,0,0,4,0,0,0,0,4,0.5
nm,0,0,0,3,0,0,0,0,3,0.375
转换,0,0,0,3,0,0,0,0,3,0.375
大数据,0,0,3,5,0,0,0,0,8,1.0
迭代计算,0,0,0,3,0,0,0,0,3,0.375
内存,0,0,0,5,0,7,1,0,13,2.075
计算框架,0,0,2,3,0,0,0,0,5,0.625
namenode,0,0,0,4,0,0,0,0,4,0.5
hdfs,0,0,1,9,0,3,0,0,13,1.79375
nodemanager,0,0,0,2,0,0,0,0,2,0.25
监控,0,0,0,2,0,0,0,0,2,0.25
mapreduce框架,0,0,0,2,0,0,0,0,2,0.25
框架,0,0,0,2,0,2,0,0,4,0.6125
状态信息,0,0,0,2,0,0,0,0,2,0.25
超步,0,0,0,2,0,0,0,0,2,0.25
图论计算,0,0,0,2,0,0,0,0,2,0.25
程序,0,0,0,2,0,0,0,0,2,0.25
动作,0,0,0,2,0,0,0,0,2,0.25
transfbrmation,0,0,0,2,0,0,0,0,2,0.25
数据挖掘,0,0,0,2,0,0,0,0,2,0.25
循环计算,0,0,0,2,0,0,0,0,2,0.25
中间结果,0,0,0,2,0,0,0,0,2,0.25
吞吐量,0,0,0,2,0,0,0,0,2,0.25
datanode,0,0,0,2,0,0,0,0,2,0.25
工作节点,0,0,0,6,0,0,0,0,6,0.75
主节点,0,0,0,4,0,1,0,0,5,0.68125
海量数据,1,0,5,5,0,2,0,0,13,2.6125
容错性,0,0,0,3,0,0,0,0,3,0.375
distributedfilesystem,0,0,0,3,0,0,0,0,3,0.375
计算资源,0,0,0,1,0,0,0,0,1,0.125
共享数据,0,0,0,1,0,0,0,0,1,0.125
云操作平台,0,0,0,1,0,0,0,0,1,0.125
cpu,0,0,0,1,0,1,0,0,2,0.30625
监控情报,0,0,0,1,0,0,0,0,1,0.125
applicationmaster,0,0,0,1,0,0,0,0,1,0.125
应用主节点,0,0,0,1,0,0,0,0,1,0.125
onm,0,0,0,1,0,0,0,0,1,0.125
逻辑框架,0,0,0,1,0,0,0,0,1,0.125
节点管理器,0,0,0,1,0,0,0,0,1,0.125
集群资源,0,0,0,1,0,0,0,0,1,0.125
resourcemanager,0,0,0,1,0,0,0,0,1,0.125
资源管理器,0,0,0,1,0,0,0,0,1,0.125
有向无环dag任务,0,0,0,1,0,0,0,0,1,0.125
mapreduce任务,0,0,0,1,0,0,0,0,1,0.125
全局资源管理器,0,0,0,1,0,0,0,0,1,0.125
进程单元,0,0,0,1,0,0,0,0,1,0.125
作业调度,0,0,0,1,0,0,0,0,1,0.125
资源管理,0,0,0,1,0,0,0,0,1,0.125
jobtracker,0,0,0,2,0,0,0,0,2,0.25
资源利用率,0,0,0,1,0,0,0,0,1,0.125
可靠性,0,0,0,1,0,0,0,0,1,0.125
可伸缩性,0,0,0,1,0,0,0,0,1,0.125
mapreducev2,0,0,0,1,0,0,0,0,1,0.125
性能,0,0,1,1,1,3,0,1,7,1.15625
运维,0,0,0,1,0,0,0,0,1,0.125
集成框架,0,0,0,1,0,0,0,0,1,0.125
pregel系统,0,0,0,1,0,0,0,0,1,0.125
