,摘要,关键词,第一章,第二章,第三章,第四章,第五章,第六章,总词频,加权得分
pdcch,3,1,3,2,57,2,1,0,69,16.5
聚合等级,3,0,1,0,70,0,0,0,74,15.8125
盲解码,2,0,0,0,15,0,0,0,17,4.71875
错误率,0,0,0,0,29,0,0,0,29,5.25625
dci解码,0,0,0,0,2,0,0,0,2,0.3625
31比特,0,0,0,0,2,0,0,0,2,0.3625
实时,0,0,0,0,1,0,0,0,1,0.18125
信噪比,1,0,0,0,24,12,0,0,37,7.5249999999999995
仿真,1,0,4,0,11,5,15,0,36,7.1187499999999995
误判率,0,0,0,0,1,0,0,0,1,0.18125
聚合等,0,0,0,0,12,0,0,0,12,2.175
dci长度,0,0,0,0,32,0,0,0,32,5.8
累积度量,1,0,0,0,22,0,0,0,23,4.9875
pdcch解码,2,0,0,0,11,0,0,0,13,3.99375
蜂窝终端,0,0,1,0,2,0,1,0,4,0.66875
d2d终端,0,0,1,6,1,0,1,0,9,1.2375
资源映射,0,0,0,0,2,0,0,0,2,0.3625
编码,0,0,1,0,2,0,0,0,3,0.4875
链路,0,0,0,0,1,0,7,0,8,1.45
pdcch盲解码,0,0,3,0,12,0,0,0,15,2.55
实时性,0,0,1,0,3,1,1,0,6,1.03125
d2d系统,0,0,1,2,3,0,0,0,6,0.91875
d2d,4,1,8,16,12,5,38,0,84,18.96875
干扰,1,0,5,4,1,3,20,0,34,6.475
子帧,0,0,0,6,3,0,25,0,34,5.825
资源分配,0,0,2,4,2,0,30,0,38,6.55
资源,2,0,1,2,6,1,38,0,50,10.53125
资源复用,0,0,0,0,0,0,5,0,5,0.90625
d2d通信,1,0,0,3,1,0,13,0,18,3.9125
空分复用,0,0,0,0,0,0,4,0,4,0.725
干扰范,0,0,0,0,0,0,8,0,8,1.45
cue,0,0,0,0,0,0,13,0,13,2.3562499999999997
rb,0,0,0,3,1,0,9,0,13,2.1875
功率,0,0,0,2,2,0,7,0,11,1.8812499999999999
无线帧,0,0,0,1,0,0,3,0,4,0.66875
相邻性,0,0,0,0,0,0,2,0,2,0.3625
功率分配,0,0,1,0,0,0,2,0,3,0.4875
lte系统,0,0,5,0,0,0,6,0,11,1.7125
d2d资源分配,0,0,1,0,0,0,5,0,6,1.03125
蜂窝用户,0,0,1,8,8,2,9,0,28,4.56875
蜂窝上行通信,0,0,0,0,0,0,2,0,2,0.3625
发送端,0,0,0,0,1,1,7,0,9,1.6312499999999999
接收端,0,0,0,0,1,2,7,0,10,1.8125
上行通信,0,0,0,0,0,0,2,0,2,0.3625
d2d4,0,0,0,0,0,0,2,0,2,0.3625
通信,0,0,2,1,0,0,4,0,7,1.1
干扰余量,0,0,0,0,0,0,18,0,18,3.2624999999999997
通信场,0,0,0,0,0,0,2,0,2,0.3625
多d2d,0,0,0,0,0,0,3,0,3,0.54375
多蜂窝终端,0,0,0,0,0,0,2,0,2,0.3625
资源分配算法,1,0,2,1,0,0,14,0,18,3.9125
约束,0,0,0,0,2,0,10,0,12,2.175
模型,0,0,0,0,0,0,2,0,2,0.3625
最终算法,0,0,0,0,0,0,1,0,1,0.18125
约束条件,0,0,0,0,0,0,1,0,1,0.18125
数学模型,0,0,0,0,0,0,3,0,3,0.54375
物理层技,0,0,0,0,0,0,1,0,1,0.18125
lte-d2d异构网络,0,0,0,0,0,0,1,0,1,0.18125
蜂窝通信,0,0,0,1,0,0,3,0,4,0.66875
发送功率,0,0,3,3,0,0,17,0,23,3.83125
功率一致性,0,0,0,0,0,0,1,0,1,0.18125
频分复用,0,0,0,0,0,0,1,0,1,0.18125
独占性,0,0,0,0,0,0,2,0,2,0.3625
传输,0,0,1,0,0,0,1,0,2,0.30625
sc-lfdma,0,0,0,0,0,0,1,0,1,0.18125
multipleacces,0,0,0,0,0,0,1,0,1,0.18125
vision,0,0,0,0,0,0,1,0,1,0.18125
frequency,0,0,0,0,0,0,1,0,1,0.18125
singlecarrierlocalize,0,0,0,0,0,0,1,0,1,0.18125
单载波连续频分复用,0,0,0,0,0,0,1,0,1,0.18125
上行传输,0,0,0,0,0,0,1,0,1,0.18125
due,0,0,0,0,0,0,73,0,73,13.23125
连续性分配,0,0,0,0,0,0,1,0,1,0.18125
d2d-lte系统,0,0,0,0,0,0,1,0,1,0.18125
空间隔离度,0,0,0,0,0,0,1,0,1,0.18125
干扰余量分配,0,0,0,0,0,0,2,0,2,0.3625
时分复用模型,0,0,0,0,0,0,1,0,1,0.18125
独占资源,0,0,0,0,0,0,1,0,1,0.18125
资源占用信息,0,0,0,2,1,0,1,0,4,0.6125
基站,1,0,5,1,5,0,14,0,26,5.19375
rts,0,0,0,2,0,0,1,0,3,0.43125
资源独占请求,0,0,0,0,0,0,1,0,1,0.18125
d2c,0,0,0,0,0,0,3,0,3,0.54375
蜂窝,0,0,1,3,1,1,5,0,11,1.76875
干扰分析,0,0,0,0,0,0,1,0,1,0.18125
隔离,0,0,0,0,0,0,1,0,1,0.18125
时分复用,0,0,0,0,0,0,1,0,1,0.18125
时频资源,0,0,0,0,0,0,1,0,1,0.18125
rts-cts机制,0,0,0,1,0,0,1,0,2,0.30625
d2d接入,0,0,0,0,0,0,1,0,1,0.18125
d2d1,0,0,0,0,0,0,1,0,1,0.18125
d2d同步信道,0,0,0,0,0,0,1,0,1,0.18125
基站接收端,0,0,0,0,0,0,7,0,7,1.26875
上行资源,0,0,2,0,1,0,1,0,4,0.6125
d2d复用蜂窝,0,0,0,0,1,0,1,0,2,0.3625
边界效应,0,0,0,0,0,12,0,0,12,2.175
dft算法,0,0,0,0,0,8,0,0,8,1.45
信道,0,0,5,3,11,24,1,0,44,7.5249999999999995
信道估计值,0,0,0,0,0,2,0,0,2,0.3625
失真,0,0,0,0,0,2,0,0,2,0.3625
频域函数,0,0,0,0,0,2,0,0,2,0.3625
时域,0,0,0,0,0,6,0,0,6,1.0875
虚子载波,0,0,0,0,0,9,0,0,9,1.6312499999999999
cfr,0,0,0,0,0,8,0,0,8,1.45
mse地板,0,0,0,0,0,2,0,0,2,0.3625
dft信道,1,0,0,0,0,8,0,0,9,2.45
mse,0,0,0,0,0,4,0,0,4,0.725
mseo信噪比,0,0,0,0,0,1,0,0,1,0.18125
边缘,0,0,0,0,0,1,0,0,1,0.18125
cfr幅度,0,0,0,0,0,1,0,0,1,0.18125
子载波边缘,0,0,0,0,0,1,0,0,1,0.18125
补零操作,0,0,0,0,0,1,0,0,1,0.18125
抹零去噪,0,0,0,0,0,1,0,0,1,0.18125
频域,0,0,0,0,0,6,2,0,8,1.45
原函数,0,0,0,0,0,1,0,0,1,0.18125
函数,0,0,0,0,1,1,1,0,3,0.54375
可微函数,0,0,0,0,0,1,0,0,1,0.18125
傅里叶级数,0,0,0,0,0,1,0,0,1,0.18125
吉布斯效应,0,0,0,0,0,1,0,0,1,0.18125
子载波,0,0,0,0,0,17,0,0,17,3.08125
导频信号,0,0,0,0,0,9,0,0,9,1.6312499999999999
去噪,0,0,0,0,0,8,0,0,8,1.45
频带,0,0,0,1,3,3,1,0,8,1.39375
msefloor,0,0,0,0,0,1,0,0,1,0.18125
dft信道估计,0,0,0,0,0,1,0,0,1,0.18125
zmq,0,0,0,0,7,0,0,0,7,1.26875
cce,0,0,0,0,57,0,0,0,57,10.331249999999999
任务,0,0,0,0,5,0,0,0,5,0.90625
线程,0,0,0,0,4,0,0,0,4,0.725
解码,0,0,0,2,27,1,0,0,30,5.325
资源占用,0,0,0,3,2,1,19,0,25,4.3625
d2d数据传输,0,0,0,0,2,0,1,0,3,0.54375
蜂窝小区,0,0,0,0,2,0,0,0,2,0.3625
套接字,0,0,0,0,2,0,0,0,2,0.3625
任务池,0,0,0,0,2,0,0,0,2,0.3625
信号,0,0,1,0,7,0,0,0,8,1.39375
线程间,0,0,0,0,2,0,0,0,2,0.3625
pthreads,0,0,0,0,2,0,0,0,2,0.3625
posix线程,0,0,0,0,2,0,0,0,2,0.3625
posixthreads,0,0,0,0,2,0,0,0,2,0.3625
分发线程,0,0,0,0,2,0,0,0,2,0.3625
收集线程,0,0,0,0,2,0,0,0,2,0.3625
任务分发线程,0,0,0,0,2,0,0,0,2,0.3625
并行程序,0,0,0,0,2,0,0,0,2,0.3625
pdcch信道,0,0,0,0,2,0,0,0,2,0.3625
时间优化,0,0,0,0,2,0,0,0,2,0.3625
吞吐增益,0,0,0,0,1,0,0,0,1,0.18125
资源段,0,0,0,0,1,0,48,0,49,8.88125
占用,0,0,0,0,1,0,1,0,2,0.3625
rnti,0,0,0,0,8,0,0,0,8,1.45
纵轴,0,0,0,0,1,0,0,0,1,0.18125
带宽,0,0,1,2,6,2,1,0,12,2.0062499999999996
resourceblock,0,0,0,0,1,0,0,0,1,0.18125
资源块,0,0,0,0,1,0,1,0,2,0.3625
上行子帧功率测量,0,0,0,0,1,0,0,0,1,0.18125
d2d用户,0,0,2,1,1,1,1,0,6,0.91875
蜂窝上行资源,0,0,0,0,1,0,0,0,1,0.18125
基站调度,0,0,0,0,1,0,0,0,1,0.18125
干扰环境,0,0,0,0,1,0,3,0,4,0.725
占用信息,0,0,0,0,1,0,0,0,1,0.18125
蜂窝用户资源,0,0,0,0,1,0,0,0,1,0.18125
cellue,0,0,0,0,1,0,0,0,1,0.18125
蜂窝用户信息,0,0,0,0,1,0,0,0,1,0.18125
hiksync,0,0,0,0,1,0,0,0,1,0.18125
gpp平台,0,0,0,0,1,0,0,0,1,0.18125
结果池,0,0,0,0,1,0,0,0,1,0.18125
结果,0,0,0,0,1,0,0,0,1,0.18125
盲解码流程,0,0,0,0,1,0,0,0,1,0.18125
er,0,0,0,0,1,0,0,0,1,0.18125
worker线程,0,0,0,0,1,0,0,0,1,0.18125
workinfo,0,0,0,0,1,0,0,0,1,0.18125
worklnfoo,0,0,0,0,1,0,0,0,1,0.18125
任务信息,0,0,0,0,1,0,0,0,1,0.18125
能量,0,0,0,0,1,10,0,0,11,1.99375
