(基本参考系, Basic reference frame): 7
(绝对运动, Absolute motion): 1
(绝对速度, Absolute velocity): 1
(牵连运动, Constrained motion): 1
(加速度, Acceleration): 0
(速度, Velocity): 6
(运动参考系, Moving reference frame): 6
(轨迹, Trajectory): 1
(平动, Translation motion): 4
(相对运动, Relative motion): 2
(相对速度, Relative velocity): 0
(牵连速度, Constrained velocity): 1
