(中子磁矩, Neutron magnetic moment): 1
(简介, Introduction): 1
(质子磁矩, Proton magnetic moment): 1
(核自旋量子数, Nuclear spin quantum number): 1
(核内相互作用, Nuclear interactions): 0
(核磁量子数, Nuclear magnetic quantum number): 1
(g因子, g-factor): 1
(第17章, Chapter 17): 1
(核自旋, Nuclear spin): 7
(核磁子, Nuclear magneton): 5
(原子核, Atomic nucleus): 13
(粒子物理, Particle physics): 1
(核磁矩, Nuclear magnetic moment): 8
