(X射线, X-ray): 4
(电子衍射, electron diffraction): 1
(德布罗意波长, de Broglie wavelength): 4
(宏观粒子, Macroscopic particles): 1
(粒子的波动性, wave nature of particles): 2
(相对论效应, relativistic effects): 1
(衍射实验, diffraction experiment): 0
(物质波, matter wave): 3
(电子显微镜, electron microscope): 2
(德布罗意关系, de Broglie relation): 2
(子弹的德布罗意波长, de Broglie wavelength of a bullet): 1
(粒子性, particle nature): 1
(波动性, wave-particle duality): 7
(波粒二象性, wave-particle duality): 1
