(寻常光, Ordinary light): 2
(图15, Figure 15): 6
(双折射现象, Birefringence phenomenon): 3
(单轴晶体, Uniaxial crystal): 1
(非常光, Extraordinary light): 2
(光轴, Optical axis): 11
(线偏振光, Polarized light): 1
(光的双折射, Double refraction of light): 1
(折射定律, Law of refraction): 3
(图82, Figure 82): 0
(双轴晶体, Biaxial crystal): 1
