(线量, Linear quantity): 4
(线速度, Linear velocity): 1
(角量, Angular quantity): 8
(切向加速度, Tangential acceleration): 1
(角加速度, Angular acceleration): 6
(角坐标, Angular coordinates): 4
(匀变速圆周运动, Uniformly accelerated circular motion): 2
(匀速圆周运动, Uniform circular motion): 1
(弧长与圆心角的关系, Relationship between arc length and central angle): 1
(圆周运动, Circular motion): 15
(角速度, Angular velocity): 9
(法向加速度, Normal acceleration): 2
