(软磁材料, Soft magnetic materials): 3
(硬磁材料, Hard magnetic materials): 4
(磁滞损耗, Hysteresis loss): 1
(磁滞回线, Hysteresis loop): 4
(软铁, Soft iron): 1
(碳钢, Carbon steel): 1
(交变磁场, Alternating magnetic field): 2
(铁磁材料, Ferromagnetic materials): 3
(钴钢, Cobalt steel): 1
(居里温度, Curie temperature): 1
(顺磁质, Paramagnetic materials): 1
(硅钢片, Silicon steel sheet): 1
(铁氧体, Ferrite): 2
(永磁材料, Permanent magnetic materials): 1
(钕铁硼, Neodymium iron boron): 1
