(波函数, Wave function): 1
(驻波, Standing wave): 2
(弹性介质, Elastic medium): 2
(光频蓝移, Blueshift of light frequency): 0
(波源, Wave source): 15
(机械波, Mechanical wave): 8
(振动状态, Vibration state): 2
(频率, Frequency): 19
(电磁波, Electromagnetic waves): 2
(波源运动, Source motion): 2
(运动相对性, Relativity of motion): 1
(波长, Wavelength): 4
(光谱线, Spectral lines): 2
(波速, Wave speed): 3
(观察者运动, Observer motion): 2
(多普勒效应, Doppler effect): 18
(真空, Vacuum): 1
(横向多普勒效应, Transverse Doppler effect): 1
(相对论效应, Relativistic effect): 1
(相对运动, Relative motion): 2
(光源固有频率, Intrinsic frequency of the light source): 3
(观察者, Observer): 20
(波的干涉, Wave interference): 2
(星体, Celestial body): 7
(平均能量密度, Average energy density): 0
(退行速度, Recession velocity): 1
(介质, Medium): 10
(机械波的多普勒效应, Doppler effect of mechanical waves): 2
(光的多普勒效应, Doppler effect of light): 3
(波的强度, Wave intensity): 1
(光波, Light waves): 7
(光频红移, Redshift of light frequency): 0
(惠更斯原理, Huygens' principle): 1
(周期, Period): 3
(纵向多普勒效应, Longitudinal Doppler effect): 3
