(角速度, Angular Velocity): 4
(转动惯量, Moment of Inertia): 6
(刚体绕定轴转动的角动量, Angular Momentum of Rotational Motion of Rigid Bodies about a Fixed Axis): 1
(冲量矩, Impulse Torque): 2
(转动刚体的碰撞问题, Collision Problems of Rotating Bodies): 1
(合外力矩, Net External Torque): 1
(转动定律, Law of Rotational Motion): 1
(非刚体, Non-rigid Body): 1
(刚体绕定轴转动的角动量定理, Angular Momentum Theorem for Rotational Motion of Rigid Bodies about a Fixed Axis): 1
