dissertation,name,this_url,language
基于社交感知的跨模态检索研究,跨模态检索,基于社交感知的跨模态检索研究_关键词_1,中文
基于社交感知的跨模态检索研究,关联学习,基于社交感知的跨模态检索研究_关键词_2,中文
基于社交感知的跨模态检索研究,多模态主题模型,基于社交感知的跨模态检索研究_关键词_3,中文
基于社交感知的跨模态检索研究,用户建模,基于社交感知的跨模态检索研究_关键词_4,中文
基于社交感知的跨模态检索研究,个性化,基于社交感知的跨模态检索研究_关键词_5,中文
基于社交感知的跨模态检索研究,cross-modal retrieval,基于社交感知的跨模态检索研究_keyword_6,英文
基于社交感知的跨模态检索研究,correlation learning,基于社交感知的跨模态检索研究_keyword_7,英文
基于社交感知的跨模态检索研究,multimodal topic model,基于社交感知的跨模态检索研究_keyword_8,英文
基于社交感知的跨模态检索研究,user modeling,基于社交感知的跨模态检索研究_keyword_9,英文
基于社交感知的跨模态检索研究,personalization,基于社交感知的跨模态检索研究_keyword_10,英文
